step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
13000,1.attn.c_proj.weight,1536,1536,1.0,1536,3,4.729376898871527e-10,1.1823442247178817e-10
13500,1.attn.c_proj.weight,1536,1536,1.0,1536,3,4.845852322048611e-10,1.2114630805121528e-10
14000,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.4436984592013883e-10,1.1109246148003471e-10
14500,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.329596625434028e-10,1.082399156358507e-10
15000,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.426405164930554e-10,1.1066012912326386e-10
15500,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.975891113281249e-10,1.2439727783203123e-10
16000,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.689025878906249e-10,1.1722564697265622e-10
16500,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.5201619466145836e-10,1.1300404866536459e-10
17000,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.676988389756943e-10,1.1692470974392358e-10
17500,1.attn.c_proj.weight,1536,1536,1.0,1536,2,6.291707356770833e-10,1.5729268391927082e-10
18000,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.674106174045138e-10,1.1685265435112846e-10
18500,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.954020182291667e-10,1.238505045572917e-10
19000,1.attn.c_proj.weight,1536,1536,1.0,1536,2,5.057271321614583e-10,1.2643178304036458e-10
19500,1.attn.c_proj.weight,1536,1536,1.0,1536,2,5.30056423611111e-10,1.3251410590277776e-10
20000,1.attn.c_proj.weight,1536,1536,1.0,1536,2,4.0676540798611104e-10,1.0169135199652776e-10
20500,1.attn.c_proj.weight,1536,1536,1.0,1536,2,5.58624267578125e-10,1.3965606689453124e-10
500,1.mlp.c_fc.weight,6144,1536,4.0,1536,11,6.427536010742185e-09,7.141706678602428e-10
1000,1.mlp.c_fc.weight,6144,1536,4.0,1536,5,4.368400573730469e-09,4.853778415256077e-10
1500,1.mlp.c_fc.weight,6144,1536,4.0,1536,3,5.419807434082032e-09,6.022008260091146e-10
2000,1.mlp.c_fc.weight,6144,1536,4.0,1536,2,7.496032714843748e-09,8.328925238715276e-10
2500,1.mlp.c_fc.weight,6144,1536,4.0,1536,2,7.023353576660156e-09,7.803726196289062e-10
3000,1.mlp.c_fc.weight,6144,1536,4.0,1536,2,7.733421325683595e-09,8.592690361870661e-10
3500,1.mlp.c_fc.weight,6144,1536,4.0,1536,2,7.811164855957036e-09,8.679072062174485e-10
4000,1.mlp.c_fc.weight,6144,1536,4.0,1536,1,8.258666992187502e-09,9.176296657986114e-10
